Title,Production_Cost,Domestic_Growth,Worldwide_Growth
Micmacs,42000000,1259693,1259693
Les BronzÃ©s 3: amis pour la vie,42000000,0,0
Pourquoi j'ai pas mangÃ© mon pÃ¨re,42000000,0,0
8 Mile,41000000,116724075,116724075
Rocketman,41000000,96368160,96368160
A Knightâs Tale,41000000,56083966,56083966
The Medallion,41000000,22108977,22108977
The Big Year,41000000,7204138,7204138
The Sixth Sense,40000000,293506292,293506292
Wedding Crashers,40000000,209218368,209218368
The Karate Kid,40000000,176591618,176591618
John Wick: Chapter 3 â Parabellum,40000000,171015687,171015687
Fifty Shades of Grey,40000000,166167230,166167230
The Proposal,40000000,163958031,163958031
American Hustle,40000000,150117807,150117807
Cheaper by the Dozen,40000000,138614544,138614544
Lucy,40000000,126573960,126573960
Lone Survivor,40000000,125095601,125095601
Back to the Future Part II,40000000,118450002,118450002
Double Jeopardy,40000000,116735231,116735231
Spy Kids 3-D: Game Over,40000000,111760631,111760631
A Time to Kill,40000000,108766007,108766007
A League of Their Own,40000000,107533925,107533925
The Conjuring 2: The Enfield Poltergeist,40000000,102470008,102470008
The Social Network,40000000,96962694,96962694
Julie & Julia,40000000,94125426,94125426
He's Just Not That Into You,40000000,93953653,93953653
John Wick: Chapter Two,40000000,92029184,92029184
Ride Along 2,40000000,90862685,90862685
Scary Movie 4,40000000,90710620,90710620
Get Hard,40000000,90411453,90411453
Scream 3,40000000,89138076,89138076
Back to the Future Part III,40000000,88055283,88055283
The Accountant,40000000,86260045,86260045
Dumb and Dumber To,40000000,86208010,86208010
The Other Woman,40000000,83911193,83911193
Bram Stoker's Dracula,40000000,82522790,82522790
Eight Below,40000000,81612565,81612565
The Talented Mr. Ripley,40000000,81292135,81292135
The Intern,40000000,75764672,75764672
The Last of the Mohicans,40000000,75505856,75505856
Ray,40000000,75305995,75305995
Sin City,40000000,74103820,74103820
Bridge of Spies,40000000,72313754,72313754
Vantage Point,40000000,72266306,72266306
"I Love You, Man",40000000,72013010,72013010
Shallow Hal,40000000,70836296,70836296
JFK,40000000,70405498,70405498
Big Momma's House 2,40000000,70165972,70165972
The House with a Clock in its Walls,40000000,68549695,68549695
Hacksaw Ridge,40000000,67209615,67209615
The Mexican,40000000,66808615,66808615
The Final Destination,40000000,66477700,66477700
17 Again,40000000,64167069,64167069
Unknown,40000000,63686397,63686397
Get Him to the Greek,40000000,61153526,61153526
Gothika,40000000,59588068,59588068
Behind Enemy Lines,40000000,58855732,58855732
The Lincoln Lawyer,40000000,58009200,58009200
Shall We Dance?,40000000,57887882,57887882
Invincible,40000000,57806952,57806952
Escape From Planet Earth,40000000,57012977,57012977
Small Soldiers,40000000,55143823,55143823
Spawn,40000000,54979992,54979992
Horrible Bosses 2,40000000,54445357,54445357
The Count of Monte Cristo,40000000,54228104,54228104
The Prestige,40000000,53089891,53089891
The Lake House,40000000,52330111,52330111
Predators,40000000,52000688,52000688
The Odd Life of Timothy Green,40000000,51853450,51853450
The Living Daylights,40000000,51185000,51185000
Apocalypto,40000000,50866635,50866635
Music and Lyrics,40000000,50572589,50572589
Legal Eagles,40000000,49851591,49851591
Secret Window,40000000,47958031,47958031
The Skeleton Key,40000000,47907715,47907715
Jersey Boys,40000000,47047013,47047013
Made of Honor,40000000,46012734,46012734
The Rainmaker,40000000,45916769,45916769
Medicine Man,40000000,44948240,44948240
Amistad,40000000,44212592,44212592
A Million Ways to Die in The West,40000000,42720965,42720965
Final Destination 5,40000000,42587643,42587643
Widows,40000000,42402632,42402632
Fever Pitch,40000000,42071069,42071069
Aliens vs. Predator - Requiem,40000000,41797066,41797066
The Water Horse: Legend of the Deep,40000000,40412817,40412817
Sex Tape,40000000,38543473,38543473
Scream 4,40000000,38180928,38180928
Ri¢hie Ri¢h,40000000,38087756,38087756
Autumn in New York,40000000,37752931,37752931
Paul,40000000,37412945,37412945
The Guilt Trip,40000000,37134215,37134215
Colombiana,40000000,36665854,36665854
8MM,40000000,36443442,36443442
The Commuter,40000000,36343858,36343858
Hanging Up,40000000,36037909,36037909
The Doors,40000000,34416893,34416893
Mickey Blue Eyes,40000000,33864342,33864342
Pay it Forward,40000000,33508922,33508922
Arthur,40000000,33035397,33035397
Drillbit Taylor,40000000,32862104,32862104
Patriots Day,40000000,31886361,31886361
Extremely Loud and Incredibly Close,40000000,31847881,31847881
The Shadow,40000000,31835600,31835600
Transporter 3,40000000,31715062,31715062
Morning Glory,40000000,31011732,31011732
Get Rich or Die Tryin',40000000,30981850,30981850
Long Shot,40000000,30316271,30316271
The Art of War,40000000,30199105,30199105
Grudge Match,40000000,29807260,29807260
Bless the Child,40000000,29374178,29374178
Rent,40000000,29077547,29077547
The Out-of-Towners,40000000,28544120,28544120
The Nut Job 2: Nutty by Nature,40000000,28370522,28370522
The Island of Dr. Moreau,40000000,27682712,27682712
The Musketeer,40000000,27053815,27053815
Resident Evil: The Final Chapter,40000000,26844692,26844692
The Other Boleyn Girl,40000000,26814957,26814957
The House,40000000,25584504,25584504
Sweet November,40000000,25288103,25288103
The Reaping,40000000,25126214,25126214
Season of the Witch,40000000,24827228,24827228
Renaissance Man,40000000,24172899,24172899
Quest for Camelot,40000000,22772500,22772500
City by the Sea,40000000,22433915,22433915
At First Sight,40000000,22365133,22365133
Mechanic: Resurrection,40000000,21218403,21218403
Torque,40000000,21176322,21176322
Fantastic Mr. Fox,40000000,21002919,21002919
Showgirls,40000000,20350754,20350754
City Hall,40000000,20278055,20278055
Big Miracle,40000000,20157300,20157300
The Impossible,40000000,19019882,19019882
A Thousand Words,40000000,18450127,18450127
Detroit,40000000,16790139,16790139
Marie Antoinette,40000000,15962471,15962471
Get Carter,40000000,14967182,14967182
Kiss of Death,40000000,14942422,14942422
"Life, or Something Like It",40000000,14448589,14448589
Ishtar,40000000,14375181,14375181
Memoirs of an Invisible Man,40000000,14358033,14358033
Amelia,40000000,14279575,14279575
Cirque du Freak: The Vampire's Assistant,40000000,14046595,14046595
New York Minute,40000000,14018364,14018364
The Deep End of the Ocean,40000000,13508635,13508635
Alfie,40000000,13395939,13395939
FearDotCom,40000000,13208023,13208023
Soul Men,40000000,12082391,12082391
The Gunman,40000000,10664749,10664749
Universal Soldier II: The Return,40000000,10447421,10447421
Pandorum,40000000,10330853,10330853
Duplex,40000000,9652000,9652000
Paranoia,40000000,7388654,7388654
Raise the Titanic,40000000,7000000,7000000
Baahubali: The Beginning,40000000,6738000,6738000
The Hurricane Heist,40000000,6115824,6115824
Impostor,40000000,6114237,6114237
Victor Frankenstein,40000000,5775076,5775076
The Goldfinch,40000000,5332621,5332621
Extreme Ops,40000000,4835968,4835968
Just Visiting,40000000,4777007,4777007
Snowpiercer,40000000,4563029,4563029
Sunshine,40000000,3688560,3688560
The Hudsucker Proxy,40000000,2816518,2816518
Billy Lynnâs Long Halftime Walk,40000000,1738477,1738477
Pirates,40000000,1641825,1641825
Delgo,40000000,915840,915840
The Hunting Party,40000000,876671,876671
Alex Rider: Operation Stormbreaker,40000000,659210,659210
Red Cliff,40000000,627047,627047
The Last Shot,40000000,463730,463730
Nomad,40000000,79123,79123
Un monstre Ã  Paris ,40000000,0,0
Solomon Kane,40000000,0,0
Kursk,40000000,0,0
USS Indianapolis: Men of Courage,40000000,0,0
Dragon Nest Warriors' Dawn,40000000,0,0
Death Note,40000000,0,0
Knives Out,40000000,0,0
Down Under Cover,40000000,0,0
Heaven and Hell,40000000,0,0
The Time Traveler's Wife,39000000,63414846,63414846
Superman III,39000000,59950623,59950623
Because I Said So,39000000,42674040,42674040
Frankenweenie,39000000,35287788,35287788
Sgt. Bilko,39000000,30356589,30356589
Serenity,39000000,25514517,25514517
Shoot 'Em Up,39000000,12796824,12796824
Against the Ropes,39000000,5881504,5881504
Yi dai zong shi,38600000,6594959,6594959
The Fast and the Furious,38000000,144512310,144512310
Sweet Home Alabama,38000000,127214072,127214072
The Ugly Truth,38000000,88915214,88915214
Spy Kids 2: The Island of Lost Dreams,38000000,85846296,85846296
Star Trek: Generations,38000000,75671262,75671262
Captain Underpants: The First Epic Movie,38000000,73921000,73921000
Paul Blart: Mall Cop 2,38000000,71091594,71091594
Mouse Hunt,38000000,61894591,61894591
Why Him?,38000000,60323786,60323786
Water for Elephants,38000000,58709717,58709717
Life as We Know It,38000000,53374681,53374681
The Hurricane,38000000,50699241,50699241
Riddick,38000000,42025135,42025135
Heartbreakers,38000000,40334024,40334024
Enough,38000000,39177215,39177215
The 5th Wave,38000000,34912982,34912982
Push,38000000,31811527,31811527
Rush,38000000,26947624,26947624
Angel Eyes,38000000,24044532,24044532
Joe Somebody,38000000,22770864,22770864
The Ninth Gate,38000000,18653746,18653746
Only the Brave,38000000,18340051,18340051
Extreme Measures,38000000,17378193,17378193
The Thing,38000000,16999934,16999934
Rock Star,38000000,16991902,16991902
White Squall,38000000,10229300,10229300
City of Ember,38000000,7873007,7873007
Switchback,38000000,6504442,6504442
The Sisters Brothers,38000000,3143056,3143056
Texas Rangers,38000000,623374,623374
Virgin Territory,38000000,0,0
The Upside,37500000,108235497,108235497
What to Expect When You're Expecting,37500000,41152203,41152203
The Master,37500000,16247159,16247159
The Express,37500000,9793406,9793406
Twilight,37000000,192769854,192769854
We're the Millers,37000000,150394119,150394119
Creed,37000000,109767581,109767581
The Town,37000000,92186262,92186262
Dolphin Tale,37000000,72286779,72286779
Game Night,37000000,69179066,69179066
Burn After Reading,37000000,60355347,60355347
13 Going On 30,37000000,57139723,57139723
Nim's Island,37000000,48006762,48006762
How to be Single,37000000,46843513,46843513
Cop Out,37000000,44875481,44875481
The Rite,37000000,33047633,33047633
Space Chimps,37000000,30105968,30105968
Magnolia,37000000,22450975,22450975
Aloha,37000000,21052030,21052030
Obitaemyy ostrov,36500000,0,0
A Star is Born,36000000,215288866,215288866
Gnomeo and Juliet,36000000,99967670,99967670
John Q,36000000,71026631,71026631
Blue Streak,36000000,68208190,68208190
Never Say Never Again,36000000,55500000,55500000
Hot Tub Time Machine,36000000,50269859,50269859
Breakdown,36000000,50159144,50159144
Dolphin Tale 2,36000000,42024533,42024533
Collateral Beauty,36000000,31016021,31016021
A Man Apart,36000000,26500000,26500000
Reindeer Games,36000000,23360779,23360779
Snow Falling on Cedars,36000000,14378353,14378353
Ghosts of Mississippi,36000000,13052741,13052741
Gattaca,36000000,12532777,12532777
Isn't She Great,36000000,2954405,2954405
Yip Man 3,36000000,2679437,2679437
There Be Dragons,36000000,1069334,1069334
Queen of the Desert,36000000,0,0
Head of State,35200000,37788228,37788228
It,35000000,327481748,327481748
The Hangover,35000000,277322503,277322503
The Blind Side,35000000,255959475,255959475
Batman,35000000,251188924,251188924
Austin Powers: The Spy Who Shagged Me,35000000,206040085,206040085
True Grit,35000000,171243005,171243005
Lethal Weapon 3,35000000,144731527,144731527
Rush Hour,35000000,141186864,141186864
Identity Thief,35000000,134506920,134506920
The Devil Wears Prada,35000000,124740460,124740460
Horrible Bosses,35000000,117538559,117538559
Spy Kids,35000000,112692062,112692062
Trainwreck,35000000,110212700,110212700
Saving Mr. Banks,35000000,83299761,83299761
Star Trek: The Motion Picture,35000000,82258456,82258456
21,35000000,81159365,81159365
What Happens in Vegas...,35000000,80277646,80277646
Cape Fear,35000000,79091969,79091969
The English Patient,35000000,78716374,78716374
Hotel for Dogs,35000000,73178547,73178547
Guess Who,35000000,68915888,68915888
This is 40,35000000,67544505,67544505
L.A. Confidential,35000000,64604977,64604977
Sky High,35000000,63939454,63939454
In & Out,35000000,63826569,63826569
A Nightmare on Elm Street,35000000,63075011,63075011
The Cell,35000000,61280963,61280963
Species,35000000,60054449,60054449
The Benchwarmers,35000000,59843754,59843754
Secretariat,35000000,59699513,59699513
The Man in the Iron Mask,35000000,56968169,56968169
Friends with Benefits,35000000,55802754,55802754
Neighbors 2: Sorority Rising,35000000,55340730,55340730
TMNT,35000000,54149098,54149098
Radio,35000000,52333738,52333738
Sicario: Day of the Soldado,35000000,50065850,50065850
Old Dogs,35000000,49492060,49492060
Malcolm X,35000000,48169910,48169910
Poltergeist,35000000,47425125,47425125
Goosebumps 2: Haunted Halloween,35000000,46697321,46697321
12 Strong,35000000,45819713,45819713
Underworld 3: Rise of the Lycans,35000000,45802315,45802315
Must Love Dogs,35000000,43894863,43894863
License to Wed,35000000,43799818,43799818
Donnie Brasco,35000000,41954997,41954997
Max Payne,35000000,40689393,40689393
Resident Evil,35000000,40119709,40119709
The Ladykillers,35000000,39692139,39692139
Something Borrowed,35000000,39046489,39046489
The Nativity Story,35000000,37629831,37629831
In Time,35000000,37553932,37553932
The Back-up Plan,35000000,37490007,37490007
J. Edgar,35000000,37306030,37306030
Bounce,35000000,36805288,36805288
Mile 22,35000000,36108758,36108758
Hot Pursuit,35000000,34580201,34580201
Concussion,35000000,34531832,34531832
The Foreigner,35000000,34393507,34393507
Closer,35000000,33987757,33987757
Street Fighter,35000000,33423000,33423000
Black Knight,35000000,33422806,33422806
The Bad News Bears,35000000,32868349,32868349
The Pianist,35000000,32519322,32519322
House of Wax,35000000,32064800,32064800
From Hell,35000000,31598308,31598308
Adrift,35000000,31445011,31445011
Mirrors,35000000,30691439,30691439
Underworld: Blood Wars,35000000,30353973,30353973
Queen of the Damned,35000000,30307804,30307804
Nanny McPhee and the Big Bang,35000000,29197642,29197642
Untraceable,35000000,28687835,28687835
Predator 2,35000000,28317513,28317513
Abduction,35000000,28087155,28087155
Flash Gordon,35000000,27107960,27107960
Superhero Movie,35000000,26638520,26638520
Blast from the Past,35000000,26613620,26613620
Alex Cross,35000000,25888412,25888412
Jersey Girl,35000000,25266129,25266129
Midnight in the Garden of Good and Evil,35000000,25078937,25078937
Bridget Jonesâs Baby,35000000,24139805,24139805
Heist,35000000,23483357,23483357
Hoffa,35000000,23365858,23365858
Whiskey Tango Foxtrot,35000000,23083334,23083334
Ella Enchanted,35000000,22913677,22913677
Hitman: Agent 47,35000000,22467450,22467450
Phantom Thread,35000000,21198205,21198205
The X-Files: I Want to Believe,35000000,20982478,20982478
Premium Rush,35000000,20275446,20275446
Broken City,35000000,19701164,19701164
Valiant,35000000,19478106,19478106
Wonder Boys,35000000,19389454,19389454
Cursed,35000000,19294901,19294901
Walk Hard: The Dewey Cox Story,35000000,18317151,18317151
The Four Feathers,35000000,18306166,18306166
Furry Vengeance,35000000,17630465,17630465
Parker,35000000,17616641,17616641
Wimbledon,35000000,16862585,16862585
Bait,35000000,15325127,15325127
Dungeons and Dragons,35000000,15185241,15185241
Lions for Lambs,35000000,14998070,14998070
Flight of the Intruder,35000000,14471440,14471440
The Tree of Life,35000000,13305665,13305665
American Outlaws,35000000,13264986,13264986
Zoom,35000000,11989328,11989328
The Shipping News,35000000,11405825,11405825
The Young Victoria,35000000,11001272,11001272
Sabotage,35000000,10508518,10508518
Knock Off,35000000,10319915,10319915
Whiteout,35000000,10275638,10275638
Unfinished Business,35000000,10219501,10219501
The Walk,35000000,10161183,10161183
The Fountain,35000000,10144010,10144010
Mandela: Long Walk to Freedom,35000000,8323085,8323085
Punisher: War Zone,35000000,8050977,8050977
The Order,35000000,7659747,7659747
A Good Year,35000000,7459300,7459300
The Brothers Grimsby,35000000,6864016,6864016
The Snowman,35000000,6670765,6670765
Femme Fatale,35000000,6630252,6630252
Warriors of Virtue,35000000,6448817,6448817
Luther,35000000,5781086,5781086
Biutiful,35000000,5101237,5101237
Radio Flyer,35000000,4651977,4651977
Bound by Honor,35000000,4496583,4496583
A Hologram for the King,35000000,4212494,4212494
Smilla's Sense of Snow,35000000,2221994,2221994
Playing for Keeps,35000000,2000000,2000000
Lion of the Desert,35000000,1500000,1500000
Le hussard sur le toit,35000000,1320043,1320043
Ride With the Devil,35000000,630779,630779
Stolen,35000000,289773,289773
Trespass,35000000,16816,16816
Bandidas,35000000,0,0
The Lovers,35000000,0,0
Black Water Transit,35000000,0,0
The Darkest Hour,34800000,21443494,21443494
Baby Driver,34000000,107825862,107825862
The Maze Runner,34000000,102427862,102427862
The Longest Ride,34000000,37446117,37446117
The Age of Innocence,34000000,32014993,32014993
Gake no ue no Ponyo,34000000,15090399,15090399
The Darkest Minds,34000000,12695691,12695691
Chill Factor,34000000,11263966,11263966
The Astronaut's Wife,34000000,10672566,10672566
I Dreamed of Africa,34000000,6543194,6543194
Thunder and the House of Magic,34000000,4091,4091
Reds,33500000,50000000,50000000
A Few Good Men,33000000,141340178,141340178
Big Momma's House,33000000,117559438,117559438
Exit Wounds,33000000,51758599,51758599
Mike and Dave Need Wedding Dates,33000000,46009673,46009673
Step Up Revolution,33000000,35074677,35074677
Snakes on a Plane,33000000,34020814,34020814
The Punisher,33000000,33664370,33664370
The Watcher,33000000,28946615,28946615
Safe,33000000,17142080,17142080
Doomsday,33000000,11008770,11008770
Pushing Tin,33000000,8408835,8408835
Goal! The Dream Begins,33000000,4283255,4283255
The Young and Prodigious T.S. Spivet,33000000,176847,176847
Freaks of Nature,33000000,70958,70958
Star Wars Ep. VI: Return of the Jedi,32500000,309205079,309205079
Bridesmaids,32500000,169211718,169211718
The Reader,32500000,34194407,34194407
The Big Wedding,32500000,21819348,21819348
Wanderlust,32500000,17288155,17288155
Elf,32000000,173840591,173840591
Phenomenon,32000000,104636382,104636382
This is the End,32000000,101470202,101470202
Snow Dogs,32000000,81150692,81150692
Nacho Libre,32000000,80197993,80197993
Scrooged,32000000,59450353,59450353
Takers,32000000,57744720,57744720
Source Code,32000000,54712227,54712227
Stigmata,32000000,50041732,50041732
Men of Honor,32000000,48814909,48814909
I Feel Pretty,32000000,48795601,48795601
The Transporter 2,32000000,43095856,43095856
"Big Mommas: Like Father, Like Son",32000000,37915414,37915414
Alive,32000000,36299670,36299670
The Number 23,32000000,35193167,35193167
1941,32000000,34175000,34175000
Dreamer: Inspired by a True Story,32000000,33022286,33022286
A History of Violence,32000000,31493782,31493782
The Incredible Burt Wonderstone,32000000,22537881,22537881
The Quick and the Dead,32000000,18552460,18552460
Laws of Attraction,32000000,17848322,17848322
Bad Times at the El Royale,32000000,17839115,17839115
Going the Distance,32000000,17804299,17804299
Bringing Out The Dead,32000000,16640210,16640210
Repo Men,32000000,13942007,13942007
Dragon Wars: D-War,32000000,10977721,10977721
Bogus,32000000,4357406,4357406
Cats Don't Dance,32000000,3588602,3588602
Cradle Will Rock,32000000,2899970,2899970
The Good German,32000000,1308696,1308696
George and the Dragon,32000000,0,0
Apocalypse Now,31500000,83471511,83471511
Criminal,31500000,14708696,14708696
42,31000000,95020213,95020213
Flight,31000000,93772375,93772375
Mr. Hollandâs Opus,31000000,82582604,82582604
Out of Africa,31000000,79096868,79096868
Moonraker,31000000,70300000,70300000
The Grand Budapest Hotel,31000000,59076019,59076019
Vacation,31000000,58884188,58884188
Arachnophobia,31000000,53208180,53208180
Isnât it Romantic,31000000,48791187,48791187
Frequency,31000000,44983704,44983704
Hearts in Atlantis,31000000,24185781,24185781
Extraordinary Measures,31000000,12482741,12482741
Birth of the Dragon,31000000,6901965,6901965
Get Shorty,30250000,72021008,72021008
Ghostbusters,30000000,242212467,242212467
Toy Story,30000000,191796233,191796233
Crazy Rich Asians,30000000,174532921,174532921
Chicago,30000000,170687518,170687518
Big Daddy,30000000,163479795,163479795
American Pie 2,30000000,145096820,145096820
The Vow,30000000,125014030,125014030
Speed,30000000,121248145,121248145
The Hunt for Red October,30000000,120709866,120709866
Lee Daniels' The Butler,30000000,116632095,116632095
Remember the Titans,30000000,115654751,115654751
District 9,30000000,115646235,115646235
Dodgeball: A True Underdog Story,30000000,114326736,114326736
The Addams Family,30000000,113502246,113502246
Ace Ventura: When Nature Calls,30000000,108360063,108360063
The Princess Diaries,30000000,108244774,108244774
Analyze This,30000000,106885658,106885658
The First Wives Club,30000000,105489203,105489203
Million Dollar Baby,30000000,100492203,100492203
Se7en,30000000,100125643,100125643
Mystic River,30000000,90135191,90135191
Sisters,30000000,87044645,87044645
Pokemon: The First Movie,30000000,85744662,85744662
SpongeBob SquarePants: The Movie,30000000,85416609,85416609
Up in the Air,30000000,83823381,83823381
The Notebook,30000000,81001787,81001787
Hannah Montana the Movie,30000000,79576189,79576189
27 Dresses,30000000,76808654,76808654
Rugrats in Paris,30000000,76501438,76501438
The Hitmanâs Bodyguard,30000000,75468583,75468583
The Prince of Tides,30000000,74787599,74787599
Four Brothers,30000000,74494381,74494381
Legends of the Fall,30000000,66502573,66502573
Looper,30000000,66486205,66486205
Warm Bodies,30000000,66380662,66380662
About Schmidt,30000000,65005217,65005217
The Nut Job,30000000,64251538,64251538
Down to Earth,30000000,64172251,64172251
Babe,30000000,63658910,63658910
Hope Springs,30000000,63536011,63536011
Forgetting Sarah Marshall,30000000,63172463,63172463
Friday Night Lights,30000000,61255921,61255921
Harlem Nights,30000000,60857262,60857262
Baby Mama,30000000,60494212,60494212
Hope Floats,30000000,60110313,60110313
Bride Wars,30000000,58715510,58715510
Without a Paddle,30000000,58156435,58156435
Midnight in Paris,30000000,56816662,56816662
Darkest Hour,30000000,56443120,56443120
Wallace & Gromit: The Curse of the Were-Rabbit,30000000,56068547,56068547
"P.S., I Love You",30000000,53695808,53695808
Corpse Bride,30000000,53359111,53359111
Life of the Party,30000000,53059911,53059911
Letters to Juliet,30000000,53032453,53032453
Blow,30000000,52990775,52990775
Message in a Bottle,30000000,52880016,52880016
Southpaw,30000000,52421953,52421953
Star Trek V: The Final Frontier,30000000,52210049,52210049
Atomic Blonde,30000000,51573925,51573925
Like Mike,30000000,51432423,51432423
Naked Gun 33 1/3: The Final Insult,30000000,51041856,51041856
Atonement,30000000,50980159,50980159
A View to a Kill,30000000,50327960,50327960
Racing Stripes,30000000,49772522,49772522
Sicario,30000000,46889293,46889293
Black Rain,30000000,45892212,45892212
Full Metal Jacket,30000000,45015999,45015999
Den of Thieves,30000000,44947622,44947622
The Three Stooges,30000000,44338224,44338224
Pokemon 2000,30000000,43746923,43746923
John Wick,30000000,43037835,43037835
Glory Road,30000000,42647449,42647449
The Age of Adaline,30000000,42629776,42629776
Step Up 3D,30000000,42400223,42400223
Drag Me To Hell,30000000,42100625,42100625
The Cabin in the Woods,30000000,42073277,42073277
Secondhand Lions,30000000,42070939,42070939
Stranger Than Fiction,30000000,40435190,40435190
Hanna,30000000,40259119,40259119
Blue Crush,30000000,40118420,40118420
30 Days of Night,30000000,39568996,39568996
Little Shop of Horrors,30000000,38747385,38747385
Gridiron Gang,30000000,38432823,38432823
Midnight Run,30000000,38413606,38413606
Meet the Spartans,30000000,38233676,38233676
The Running Man,30000000,38122000,38122000
The Family,30000000,36918811,36918811
The 15:17 to Paris,30000000,36276286,36276286
Mortal Kombat: Annihilation,30000000,35927406,35927406
Larry Crowne,30000000,35608245,35608245
Carrie,30000000,35266619,35266619
Take the Lead,30000000,34742066,34742066
Death Wish,30000000,34017028,34017028
Love and Other Drugs,30000000,32367005,32367005
Entourage,30000000,32363404,32363404
What's the Worst That Could Happen?,30000000,32267774,32267774
Side Effects,30000000,32172757,32172757
9,30000000,31749894,31749894
Deliver Us from Evil,30000000,30577122,30577122
Get on Up,30000000,30569935,30569935
Mollyâs Game,30000000,28780744,28780744
The Five-Year Engagement,30000000,28700285,28700285
The Prince & Me,30000000,28165882,28165882
Winnie the Pooh,30000000,26692846,26692846
Bulworth,30000000,26528684,26528684
Dumb and Dumberer: When Harry Met Lloyd,30000000,26214846,26214846
White Boy Rick,30000000,24004833,24004833
Virtuosity,30000000,23998226,23998226
One True Thing,30000000,23337196,23337196
Sanctum,30000000,23209310,23209310
My Super Ex-Girlfriend,30000000,22530295,22530295
Ballerina,30000000,21858070,21858070
Mr. 3000,30000000,21800302,21800302
Shaft,30000000,21360215,21360215
The Next Three Days,30000000,21148651,21148651
Proud Mary,30000000,20868638,20868638
Little Black Book,30000000,20422207,20422207
Assault On Precinct 13,30000000,20040895,20040895
Runner Runner,30000000,19316646,19316646
The Replacement Killers,30000000,19035741,19035741
Baahubali 2: The Conclusion,30000000,18985794,18985794
Ultraviolet,30000000,18522064,18522064
North Country,30000000,18324242,18324242
Fright Night,30000000,18298649,18298649
mother!,30000000,17800004,17800004
Steve Jobs,30000000,17766658,17766658
Eight Legged Freaks,30000000,17266505,17266505
Fled,30000000,17192205,17192205
Splice,30000000,17010170,17010170
88 Minutes,30000000,16930884,16930884
The Whole Ten Yards,30000000,16323969,16323969
Howard the Duck,30000000,16295774,16295774
Pride and Glory,30000000,15740721,15740721
The Cave,30000000,15007991,15007991
Godsend,30000000,14334645,14334645
Last Christmas,30000000,14268300,14268300
Alex & Emma,30000000,14208384,14208384
Wicker Park,30000000,13001257,13001257
The New World,30000000,12712093,12712093
Evening,30000000,12406646,12406646
The Last Stand,30000000,12050299,12050299
In Dreams,30000000,12017369,12017369
Wing Commander,30000000,11578022,11578022
CafÃ© Society,30000000,11103205,11103205
Antitrust,30000000,10965209,10965209
Dead Man Down,30000000,10895295,10895295
Hoodwinked Too: Hood vs. Evil,30000000,10143779,10143779
Dragonball Evolution,30000000,9362785,9362785
First Daughter,30000000,9055010,9055010
The Lost City of Z,30000000,8574339,8574339
An Unfinished Life,30000000,8535575,8535575
The Space Between Us,30000000,7885294,7885294
Anna,30000000,7743794,7743794
The Imaginarium of Doctor Parnassus,30000000,7689607,7689607
Barney's Version,30000000,7502560,7502560
Trapped,30000000,6916869,6916869
The Current War: Directorâs Cut,30000000,5791787,5791787
Kin,30000000,5718096,5718096
Once Upon a Time in America,30000000,5321508,5321508
Stronger,30000000,4211129,4211129
Gloria,30000000,4167493,4167493
Replicas,30000000,4046429,4046429
The Assassination of Jesse James by the Coward …,30000000,3909149,3909149
The Merchant of Venice,30000000,3765585,3765585
The Good Thief,30000000,3517797,3517797
Supercross,30000000,3102550,3102550
Miss Potter,30000000,3005605,3005605
Wu ji,30000000,669625,669625
Machine Gun Preacher,30000000,538690,538690
Bilal: A New Breed of Hero,30000000,490973,490973
DOA: Dead or Alive,30000000,480314,480314
Le Petit Nicolas,30000000,201857,201857
Xinhai geming,30000000,135739,135739
Genghis Khan: To the Ends of the Earth and Sea,30000000,3892,3892
Wild Card,30000000,3200,3200
United Passions,30000000,918,918
Konferenz der Tiere,30000000,0,0
Grace of Monaco,30000000,0,0
Savva. Serdtse voyna,30000000,0,0
Goodbye Bafana,30000000,0,0
Space Pirate Captain Harlock,30000000,0,0
Ripley's Game,30000000,0,0
Collide,29200000,2280004,2280004
Pitch Perfect 2,29000000,184296230,184296230
Walk the Line,29000000,119519402,119519402
Night School,29000000,77339130,77339130
The Boss,29000000,63077560,63077560
12 Monkeys,29000000,57141459,57141459
Once Upon a Time in Mexico,29000000,56330657,56330657
Keeping the Faith,29000000,37036404,37036404
Logan Lucky,29000000,27778642,27778642
Florence Foster Jenkins,29000000,27383770,27383770
The Borrowers,29000000,22619589,22619589
Frost/Nixon,29000000,18622031,18622031
Seed of Chucky,29000000,17016190,17016190
Serving Sara,29000000,16930185,16930185
Confessions of a Dangerous Mind,29000000,16007718,16007718
Taking Woodstock,29000000,7460204,7460204
Cry Freedom,29000000,5899797,5899797
Unhinged,29000000,0,0
Mumford,28700000,4559569,4559569
The Jacket,28500000,6301131,6301131
Aladdin,28000000,217350219,217350219
Indiana Jones and the Temple of Doom,28000000,179880271,179880271
Straight Outta Compton,28000000,161197785,161197785
Girls Trip,28000000,115108515,115108515
The Rugrats Movie,28000000,100494685,100494685
Die Hard,28000000,81350242,81350242
Along Came a Spider,28000000,74058698,74058698
A Bad Moms Christmas,28000000,72110659,72110659
Safe Haven,28000000,71399120,71399120
The Big Short,28000000,70259870,70259870
Role Models,28000000,67300955,67300955
"Alexander and the Terrible, Horrible, No Good, …",28000000,66954149,66954149
Miracle,28000000,64378093,64378093
Last Vegas,28000000,63914167,63914167
The Wedding Planner,28000000,60400856,60400856
Dawn of the Dead,28000000,58990765,58990765
